Key,Neighbors,Metric,Value,Algorithm
922,4,RMSE,0.925570011,FPLV-C
923,4,HLU,1.500927825,FPLV-C
925,4,SortingAccuracy,0.571699245,FPLV-C
929,4,F1,0.71057651,FPLV-C
932,5,Degree Diversity,0.618482481,FPLV-C
933,5,MAE,0.728563797,FPLV-C
934,5,RMSE,0.925570011,FPLV-C
935,5,HLU,1.500927825,FPLV-C
937,5,SortingAccuracy,0.571699245,FPLV-C
941,5,F1,0.71057651,FPLV-C
944,6,Degree Diversity,0.618482481,FPLV-C
945,6,MAE,0.728563797,FPLV-C
946,6,RMSE,0.925570011,FPLV-C
947,6,HLU,1.500927825,FPLV-C
949,6,SortingAccuracy,0.571699245,FPLV-C
953,6,F1,0.71057651,FPLV-C
956,7,Degree Diversity,0.618482481,FPLV-C
957,7,MAE,0.728563797,FPLV-C
958,7,RMSE,0.925570011,FPLV-C
959,7,HLU,1.500927825,FPLV-C
961,7,SortingAccuracy,0.571699245,FPLV-C
965,7,F1,0.71057651,FPLV-C
968,8,Degree Diversity,0.618482481,FPLV-C
969,8,MAE,0.728563797,FPLV-C
970,8,RMSE,0.925570011,FPLV-C
971,8,HLU,1.500927825,FPLV-C
973,8,SortingAccuracy,0.571699245,FPLV-C
977,8,F1,0.71057651,FPLV-C
980,9,Degree Diversity,0.618482481,FPLV-C
981,9,MAE,0.728563797,FPLV-C
982,9,RMSE,0.925570011,FPLV-C
983,9,HLU,1.500927825,FPLV-C
985,9,SortingAccuracy,0.571699245,FPLV-C
989,9,F1,0.71057651,FPLV-C
992,10,Degree Diversity,0.618482481,FPLV-C
993,10,MAE,0.728563797,FPLV-C
994,10,RMSE,0.925570011,FPLV-C
995,10,HLU,1.500927825,FPLV-C
997,10,SortingAccuracy,0.571699245,FPLV-C
1001,10,F1,0.71057651,FPLV-C
1004,11,Degree Diversity,0.618482481,FPLV-C
1005,11,MAE,0.728563797,FPLV-C
1006,11,RMSE,0.925570011,FPLV-C
1007,11,HLU,1.500927825,FPLV-C
1009,11,SortingAccuracy,0.571699245,FPLV-C
1013,11,F1,0.71057651,FPLV-C
1016,12,Degree Diversity,0.618482481,FPLV-C
1017,12,MAE,0.728563797,FPLV-C
1018,12,RMSE,0.925570011,FPLV-C
1019,12,HLU,1.500927825,FPLV-C
1021,12,SortingAccuracy,0.571699245,FPLV-C
1025,12,F1,0.71057651,FPLV-C
1028,13,Degree Diversity,0.618482481,FPLV-C
1029,13,MAE,0.728563797,FPLV-C
1030,13,RMSE,0.925570011,FPLV-C
1031,13,HLU,1.500927825,FPLV-C
1033,13,SortingAccuracy,0.571699245,FPLV-C
1037,13,F1,0.71057651,FPLV-C
1040,14,Degree Diversity,0.618482481,FPLV-C
1041,14,MAE,0.728563797,FPLV-C
1042,14,RMSE,0.925570011,FPLV-C
1043,14,HLU,1.500927825,FPLV-C
1045,14,SortingAccuracy,0.571699245,FPLV-C
1049,14,F1,0.71057651,FPLV-C
1052,15,Degree Diversity,0.618482481,FPLV-C
1053,15,MAE,0.728563797,FPLV-C
1054,15,RMSE,0.925570011,FPLV-C
1055,15,HLU,1.500927825,FPLV-C
1057,15,SortingAccuracy,0.571699245,FPLV-C
1061,15,F1,0.71057651,FPLV-C
1064,16,Degree Diversity,0.618482481,FPLV-C
1065,16,MAE,0.728563797,FPLV-C
1066,16,RMSE,0.925570011,FPLV-C
1067,16,HLU,1.500927825,FPLV-C
1069,16,SortingAccuracy,0.571699245,FPLV-C
1073,16,F1,0.71057651,FPLV-C
1076,17,Degree Diversity,0.618482481,FPLV-C
1077,17,MAE,0.728563797,FPLV-C
1078,17,RMSE,0.925570011,FPLV-C
1079,17,HLU,1.500927825,FPLV-C
1081,17,SortingAccuracy,0.571699245,FPLV-C
1085,17,F1,0.71057651,FPLV-C
1088,18,Degree Diversity,0.618482481,FPLV-C
1089,18,MAE,0.728563797,FPLV-C
1090,18,RMSE,0.925570011,FPLV-C
1091,18,HLU,1.500927825,FPLV-C
1093,18,SortingAccuracy,0.571699245,FPLV-C
1097,18,F1,0.71057651,FPLV-C
1100,19,Degree Diversity,0.618482481,FPLV-C
1101,19,MAE,0.728563797,FPLV-C
1102,19,RMSE,0.925570011,FPLV-C
1103,19,HLU,1.500927825,FPLV-C
1105,19,SortingAccuracy,0.571699245,FPLV-C
1109,19,F1,0.71057651,FPLV-C
1112,20,Degree Diversity,0.618482481,FPLV-C
